listing_id,lat,lon,price,beds,price_bed,neighbourhood,property_type,room_type,accommodates
7986179,42.3216934,-71.114624,$75.00,1,75,Jamaica Plain,Apartment,Entire home/apt,2
14109003,42.3216934,-71.114624,$117.00,4,29.25,Jamaica Plain,Condominium,Entire home/apt,4
1109224,42.3258875,-71.1117783,$429.00,6,71.5,Jamaica Plain,Apartment,Entire home/apt,8
1067184,42.3058808,-71.1169152,$95.00,1,95,Jamaica Plain,Apartment,Private room,2
13215952,42.3085448,-71.1105363,$69.00,1,69,Jamaica Plain,Apartment,Private room,2
777903,42.3087806,-71.1334657,$85.00,1,85,Jamaica Plain,House,Private room,2
1301500,42.3113932,-71.109168,$69.00,1,69,Jamaica Plain,Apartment,Private room,2
8923817,42.3096742,-71.1131974,$165.00,1,165,Jamaica Plain,House,Entire home/apt,2
14057466,42.3113932,-71.109168,$150.00,2,75,Jamaica Plain,Apartment,Entire home/apt,4
14909417,42.2980991,-71.1126716,$267.00,4,66.75,Jamaica Plain,Condominium,Entire home/apt,7
5521378,42.3113351,-71.1004703,$87.00,1,87,Jamaica Plain,Apartment,Private room,2
13041602,42.2987446,-71.112422,$62.00,1,62,Jamaica Plain,Townhouse,Private room,2
2621242,42.3176253,-71.1064023,$110.00,1,110,Jamaica Plain,Apartment,Entire home/apt,2
950046,42.3102529,-71.1080533,$250.00,3,83.3333333333333,Jamaica Plain,Apartment,Entire home/apt,6
3342094,42.3166444,-71.1142376,$150.00,2,75,Jamaica Plain,Apartment,Entire home/apt,6
5652147,42.3079474,-71.1178119,$300.00,4,75,Jamaica Plain,House,Entire home/apt,7
14105971,42.3085448,-71.1105363,$119.00,1,119,Jamaica Plain,Apartment,Entire home/apt,2
2875267,42.3114522,-71.1161691,$175.00,1,175,Jamaica Plain,Apartment,Entire home/apt,2
9485607,42.3208799,-71.1065402,$195.00,2,97.5,Jamaica Plain,House,Entire home/apt,6
7273770,42.3048207,-71.1131741,$145.00,2,72.5,Jamaica Plain,Condominium,Entire home/apt,4
5405928,42.3068503,-71.1192035,$200.00,2,100,Jamaica Plain,Apartment,Entire home/apt,4
4586681,42.3146554,-71.112026,$90.00,1,90,Jamaica Plain,House,Private room,1
1113272,42.306175,-71.106119,$210.00,2,105,Jamaica Plain,Apartment,Entire home/apt,4
12647606,42.3176253,-71.1064023,$75.00,1,75,Jamaica Plain,Apartment,Private room,2
10271867,42.2784305,-71.1599071,$46.00,1,46,Jamaica Plain,Apartment,Private room,2
7879708,42.2969269,-71.1143927,$75.00,1,75,Jamaica Plain,Condominium,Private room,2
3881993,42.3041938,-71.1062922,$500.00,3,166.666666666667,Jamaica Plain,Apartment,Entire home/apt,6
12566065,42.30409,-71.1106053,$60.00,1,60,Jamaica Plain,Apartment,Private room,2
6602217,42.3234452,-71.1081651,$130.00,2,65,Jamaica Plain,Apartment,Entire home/apt,5
3276286,42.3120041,-71.104052,$190.00,3,63.3333333333333,Jamaica Plain,Apartment,Entire home/apt,6
2014651,42.306175,-71.106119,$100.00,1,100,Jamaica Plain,Apartment,Private room,2
6053700,42.3117347,-71.1175666,$450.00,6,75,Jamaica Plain,House,Entire home/apt,6
4405982,42.3189996,-71.1127938,$399.00,4,99.75,Jamaica Plain,Apartment,Entire home/apt,8
250983,42.3228233,-71.109772,$350.00,2,175,Jamaica Plain,Apartment,Entire home/apt,5
2308630,42.308654,-71.1131202,$200.00,2,100,Jamaica Plain,Apartment,Entire home/apt,4
8272350,42.3205726,-71.1071514,$99.00,1,99,Jamaica Plain,Apartment,Private room,2
12368012,42.3078873,-71.1127377,$295.00,4,73.75,Jamaica Plain,House,Entire home/apt,6
4098410,42.3041938,-71.1062922,$107.00,1,107,Jamaica Plain,Apartment,Private room,2
6322283,42.3085448,-71.1105363,$69.00,1,69,Jamaica Plain,Apartment,Private room,1
7823025,42.2784305,-71.1599071,$76.00,1,76,Jamaica Plain,Apartment,Private room,2
9549850,42.3205726,-71.1071514,$75.00,1,75,Jamaica Plain,Apartment,Entire home/apt,2
7845607,42.3157967,-71.1150174,$55.00,1,55,Jamaica Plain,House,Private room,1
14071446,42.3216934,-71.114624,$65.00,2,32.5,Jamaica Plain,Apartment,Private room,2
14218904,42.3169796,-71.1124623,$59.00,1,59,Jamaica Plain,Condominium,Private room,2
11826815,42.2989452,-71.1116663,$88.00,1,88,Jamaica Plain,House,Private room,2
13334098,42.3104274,-71.1173996,$164.00,3,54.6666666666667,Jamaica Plain,House,Entire home/apt,5
4765070,42.3234452,-71.1081651,$90.00,1,90,Jamaica Plain,House,Entire home/apt,2
2880944,42.3129614,-71.1163506,$185.00,2,92.5,Jamaica Plain,Apartment,Entire home/apt,4
