listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability,n,sscore,avgsscore,clus
8981656,42.313345,-71.1174953,2.38,2.86,2.65,4.77,7.76,4.46,6.15,5.2,0.81,3.7,85,1,85,95,2.18,23,6,1,2,100,1,1,1,323,115,285,2.47826086956522,4
13110347,42.3169505,-71.1059087,1.92,2.64,1.98,4.61,6.84,3.55,5.3,4.28,1.37,2.9,61,1,61,97,10.88,33,1,1,2,96,2,1,1,132,122,278,2.27868852459016,4
8801250,42.3129882,-71.1028974,2.21,2.94,2.28,5.08,6.9,3.76,5.56,4.34,1.24,3.23,56,1,56,90,0.48,4,2,1,2,73,4,1,1,341,21,37,1.76190476190476,4
13110084,42.3066062,-71.1055281,2.65,3.38,2.72,5.51,7.34,4.19,6,4.78,0.94,3.66,220,3,73.33,94,3.93,14,1,2,6,100,4,1,2,185,70,147,2.1,4
6425318,42.3208799,-71.1065402,1.6,2.38,1.84,4.35,6.83,3.54,5.3,4.28,1.63,2.79,60,1,60,95,0.52,8,6,1,2,100,4,1,1,288,42,89,2.11904761904762,4
2378421,42.3117347,-71.1175666,2.52,3,2.79,4.91,7.77,4.48,6.28,5.21,0.52,3.7,125,2,62.5,99,2.17,63,2,1,2,100,1,1,1,146,439,893,2.03416856492027,4
12781774,42.3140033,-71.1122811,2.26,2.79,2.53,4.76,7.36,4.07,5.82,4.8,0.92,3.42,99,1,99,94,1.93,7,1,2,2,100,1,1,0,294,38,87,2.28947368421053,4
8226982,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,67,2,33.5,100,0.69,4,1,1,3,100,1,1,1,0,21,49,2.33333333333333,4
4339392,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,170,2,85,100,0.32,7,1,2,3,100,1,2,2,213,41,92,2.24390243902439,4
12191871,42.3091289,-71.0992832,2.48,3.22,2.55,5.48,7.08,4,5.8,4.58,1.35,3.5,115,2,57.5,100,3.56,7,2,2,4,100,1,1,2,111,37,92,2.48648648648649,4
6764572,42.3205726,-71.1071514,1.67,2.42,1.91,4.4,6.88,3.58,5.34,4.32,1.6,2.86,89,1,89,95,3.53,53,2,1,2,100,2,1,1,66,299,635,2.12374581939799,4
8521792,42.2980991,-71.1126716,3.36,3.98,3.43,5.95,8.05,4.91,6.71,5.49,1.06,4.38,110,1,110,95,2.49,29,2,1,2,100,1,1,1,290,130,302,2.32307692307692,4
4065322,42.308654,-71.1131202,2.69,3.23,2.72,5.2,7.59,4.29,6.05,5.03,0.53,3.64,84,1,84,93,0.99,23,1,1,2,100,1,1,1,330,122,267,2.18852459016393,4
4457943,42.3118724,-71.1047488,2.28,3,2.34,5.08,7.03,3.89,5.7,4.48,1.1,3.26,86,1,86,100,2.02,44,5,1,2,100,2,1,1,27,237,492,2.07594936708861,4
4838985,42.3063988,-71.1027361,2.57,3.31,2.64,5.55,7.26,4.12,5.92,4.7,1.31,3.59,255,2,127.5,90,0.36,6,1,2,6,100,2,1,3,17,25,44,1.76,4
197972,42.3166783,-71.110405,2.04,2.57,2.15,4.54,7.09,3.8,5.56,4.54,1.25,3.1,145,1,145,96,3.86,230,2,2,3,100,2,1,1,322,1376,2990,2.17296511627907,4
1115394,42.3063988,-71.1027361,2.57,3.31,2.64,5.55,7.26,4.12,5.92,4.7,1.31,3.59,91,1,91,96,4.73,179,1,1,2,100,2,1,1,282,1064,2133,2.0046992481203,4
5702292,42.3129882,-71.1028974,2.21,2.94,2.28,5.08,6.9,3.76,5.56,4.34,1.24,3.23,81,1,81,91,1.25,13,2,1,2,73,4,1,1,320,71,144,2.02816901408451,4
4015972,42.3208799,-71.1065402,1.6,2.38,1.84,4.35,6.83,3.54,5.3,4.28,1.63,2.79,60,1,60,96,3.85,94,1,1,2,100,4,1,1,334,595,1153,1.93781512605042,4
2295530,42.3176253,-71.1064023,1.69,2.55,1.89,4.6,6.83,3.54,5.29,4.27,1.35,2.84,99,2,49.5,99,4.19,122,2,1,3,100,2,1,1,242,1073,2261,2.1071761416589,4
5882411,42.2989452,-71.1116663,3.32,3.93,3.38,5.9,8,4.86,6.67,5.44,1.01,4.33,88,1,88,96,6.79,115,3,1,1,100,3,1,1,123,555,1118,2.01441441441441,4
6914622,42.307678,-71.1186091,2.77,3.31,3.04,5.25,8.01,4.72,6.48,5.46,0.23,3.94,225,1,225,100,0.5,7,2,2,2,90,1,1,1,1,101,219,2.16831683168317,4
13041752,42.2987446,-71.112422,3.32,3.94,3.39,5.91,8.01,4.87,6.67,5.45,1.02,4.34,48,1,48,96,3.33,12,5,1,1,100,2,1,1,2,69,102,1.47826086956522,4
1885386,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,85,1,85,95,3.93,119,2,1,2,100,5,1,1,307,656,1345,2.05030487804878,4
115936,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,525,1,525,70,0.13,7,1,2,12,100,5,1,4,327,54,43,0.796296296296296,4
2798787,42.3236674,-71.1067707,1.41,2.18,1.69,4.16,6.72,3.42,5.18,4.16,1.66,2.64,75,1,75,98,3.34,94,2,1,2,100,1,1.5,1,276,570,1242,2.17894736842105,4
2950175,42.3063988,-71.1027361,2.57,3.31,2.64,5.55,7.26,4.12,5.92,4.7,1.31,3.59,50,1,50,98,0.42,12,1,1,1,100,1,1,1,0,62,137,2.20967741935484,4
5293067,42.3129882,-71.1028974,2.21,2.94,2.28,5.08,6.9,3.76,5.56,4.34,1.24,3.23,49,1,49,85,1.24,23,2,1,2,73,4,1,1,331,104,165,1.58653846153846,4
11912139,42.3208799,-71.1065402,1.6,2.38,1.84,4.35,6.83,3.54,5.3,4.28,1.63,2.79,60,1,60,96,2.01,11,1,1,2,100,4,1,1,290,83,184,2.21686746987952,4
2933661,42.3041938,-71.1062922,2.85,3.58,2.92,5.62,7.54,4.4,6.2,4.98,0.94,3.87,85,1,85,82,0.55,14,1,1,2,100,8,1,1,365,92,169,1.83695652173913,4
1803138,42.3106206,-71.1002135,2.31,3.04,2.37,5.28,6.99,3.85,5.66,4.43,1.35,3.32,85,1,85,96,2.02,62,1,1,2,90,1,1.5,1,329,398,782,1.96482412060302,4
11397952,42.3129614,-71.1163506,2.42,2.9,2.69,4.81,7.68,4.39,6.14,5.12,0.78,3.61,64,1,64,97,3.66,21,2,1,2,100,1,1,1,26,144,320,2.22222222222222,4
50032,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,725,5,145,96,0.26,15,1,2,12,100,5,2,4,329,85,144,1.69411764705882,4
6390634,42.2989452,-71.1116663,3.32,3.93,3.38,5.9,8,4.86,6.67,5.44,1.01,4.33,75,1,75,100,2.57,41,3,1,2,100,2,1.5,1,8,260,544,2.09230769230769,4
1949996,42.2784305,-71.1599071,5.93,6.4,6.2,8.31,11.2,7.89,9.69,8.64,3.26,7.11,110,2,55,97,0.7,23,1,2,4,100,1,1,1,2,194,405,2.08762886597938,4
