listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability
7929879,42.3403397,-71.0532183,2.8,2.56,2.53,4.55,4.1,1.62,3.03,1.8,4.94,2.01,220,1,220,87,0.53,6,Other,Private room,2,98,24,6,1,348
13713713,42.3600825,-71.0588801,2.97,2.51,2.7,3.51,2.96,0.7,1.42,0.22,5.46,1.84,225,1,225,98,3.93,8,Apartment,Entire home/apt,2,100,1,1,1,4
11592067,42.3295793,-71.0526796,2.71,2.91,2.65,4.9,4.89,2.28,3.82,2.58,4.61,2.67,240,2,120,93,0.66,4,Apartment,Entire home/apt,5,20,2,2,2,0
7853971,42.3403397,-71.0532183,2.8,2.56,2.53,4.55,4.1,1.62,3.03,1.8,4.94,2.01,189,1,189,93,1.25,6,Apartment,Entire home/apt,4,98,22,1,1,330
6544642,42.3356314,-71.0354156,3.69,3.59,3.56,5.56,4.62,2.35,3.55,2.32,5.6,3.03,175,1,175,89,1,14,Apartment,Entire home/apt,2,100,1,1,0,26
7988755,42.3292217,-71.0547271,2.58,2.78,2.52,4.77,4.95,2.3,3.87,2.64,4.49,2.63,109,1,109,94,5.48,68,Apartment,Private room,3,100,1,1,1,298
4996375,42.3393572,-71.0488053,3.11,2.88,2.85,4.87,4.25,1.96,3.18,1.95,5.25,2.32,119,1,119,98,2.75,55,Apartment,Private room,2,96,2,1,1,87
11492423,42.3358239,-71.0532157,3.01,2.79,2.76,4.78,4.48,1.85,3.41,2.18,4.92,2.24,100,1,100,97,4.39,24,Apartment,Private room,2,100,4,1,1,326
4586590,42.3292217,-71.0547271,2.58,2.78,2.52,4.77,4.95,2.3,3.87,2.64,4.49,2.63,99,1,99,98,5.14,102,Apartment,Private room,2,100,1,1,1,71
12581300,42.330489,-71.0533977,2.7,2.9,2.64,4.89,4.85,2.24,3.78,2.55,4.61,2.63,65,1,65,98,2.97,11,House,Private room,2,100,1,1,1,0
6489209,42.3303297,-71.0576502,2.46,2.67,2.41,4.65,4.81,2.16,3.74,2.5,4.37,2.55,75,1,75,97,0.9,14,House,Shared room,2,92,4,1,1,199
