listing_id,lat,lon
5904732,42.3143258,-71.0988743
3591359,42.3238121,-71.1053298
2538536,42.3317642,-71.1211635
4975581,42.319843,-71.1142976
4767023,42.3243037,-71.1067244
6364042,42.3143258,-71.0988743
7986179,42.3216934,-71.114624
14109003,42.3216934,-71.114624
1109224,42.3258875,-71.1117783
1067184,42.3058808,-71.1169152
13215952,42.3085448,-71.1105363
777903,42.3087806,-71.1334657
1301500,42.3113932,-71.109168
8923817,42.3096742,-71.1131974
14057466,42.3113932,-71.109168
14909417,42.2980991,-71.1126716
5521378,42.3113351,-71.1004703
13041602,42.2987446,-71.112422
2621242,42.3176253,-71.1064023
950046,42.3102529,-71.1080533
3342094,42.3166444,-71.1142376
5652147,42.3079474,-71.1178119
14105971,42.3085448,-71.1105363
2875267,42.3114522,-71.1161691
9485607,42.3208799,-71.1065402
7273770,42.3048207,-71.1131741
5405928,42.3068503,-71.1192035
4586681,42.3146554,-71.112026
1113272,42.306175,-71.106119
12647606,42.3176253,-71.1064023
10271867,42.2784305,-71.1599071
7879708,42.2969269,-71.1143927
3881993,42.3041938,-71.1062922
12566065,42.30409,-71.1106053
6602217,42.3234452,-71.1081651
3276286,42.3120041,-71.104052
2014651,42.306175,-71.106119
6053700,42.3117347,-71.1175666
4405982,42.3189996,-71.1127938
250983,42.3228233,-71.109772
2308630,42.308654,-71.1131202
8272350,42.3205726,-71.1071514
12368012,42.3078873,-71.1127377
4098410,42.3041938,-71.1062922
6322283,42.3085448,-71.1105363
7823025,42.2784305,-71.1599071
9549850,42.3205726,-71.1071514
7845607,42.3157967,-71.1150174
14071446,42.3216934,-71.114624
14218904,42.3169796,-71.1124623
11826815,42.2989452,-71.1116663
13334098,42.3104274,-71.1173996
4765070,42.3234452,-71.1081651
2880944,42.3129614,-71.1163506
9532771,42.3216934,-71.114624
10253591,42.3147015,-71.0996176
1881298,42.3001299,-71.111615
210097,42.3097365,-71.1151431
6059968,42.3176253,-71.1064023
6862758,42.3180879,-71.1049211
799701,42.319843,-71.1142976
6862594,42.319843,-71.1142976
9057435,42.3129614,-71.1163506
750438,42.3069064,-71.1126004
12874603,42.3170274,-71.1048852
12727401,42.2784305,-71.1599071
2077794,42.3048207,-71.1131741
9712731,42.3258875,-71.1117783
13677640,42.3120135,-71.1003526
3371091,42.3166444,-71.1142376
13512551,42.3600825,-71.0588801
732999,42.2955696,-71.1220297
6106955,42.308581,-71.1014255
2698996,42.3122377,-71.1242252
27611,42.3157967,-71.1150174
4025194,42.331929,-71.0820555
8336364,42.3097365,-71.1151431
12071820,42.306101,-71.1116089
7910223,42.3167197,-71.1007364
4567815,42.3058808,-71.1169152
12022134,42.3088404,-71.116679
13513012,42.2989452,-71.1116663
3730447,42.2945736,-71.1153751
4149974,42.2784305,-71.1599071
